County,Province,Nation,18/03/2020,19/03/2020,20/03/2020
Carlow,Leinster,Ireland,<5,<5,<5
Cavan,Ulster,Ireland,<5,<5,<5
Clare,Munster,Ireland,<5,7,7
Cork,Munster,Ireland,48,88,101
Donegal,Ulster,Ireland,<5,<5,<5
Dublin,Leinster,Ireland,129,320,402
Galway,Connacht,Ireland,12,21,25
Kerry,Munster,Ireland,6,8,9
Kildare,Leinster,Ireland,<5,18,20
Kilkenny,Leinster,Ireland,<5,11,11
Laois,Leinster,Ireland,0,<5,6
Leitrum,Connacht,Ireland,0,<5,<5
Limerick,Munster,Ireland,48,15,15
Longford,Leinster,Ireland,<5,<5,<5
Louth,Leinster,Ireland,<5,9,11
Mayo,Connacht,Ireland,<5,<5,<5
Meath,Leinster,Ireland,<5,10,11
Monaghan,Leinster,Ireland,0,,<5
Offaly,Leinster,Ireland,<5,7,9
Roscommon,Connacht,Ireland,<5,<5,<5
Sligo,Connacht,Ireland,<5,<5,<5
Tipperary,Munster,Ireland,<5,<5,8
Waterford,Munster,Ireland,7,8,9
Westmeath,Leinster,Ireland,7,14,16
Wexford,Leinster,Ireland,<5,<5,<5
Wicklow,Leinster,Ireland,9,17,22
Antrim,Ulster,Northern Ireland,NA,NA,NA
Down,Ulster,Northern Ireland,NA,NA,NA
Derry,Ulster,Northern Ireland,NA,NA,NA
Tyrone,Ulster,Northern Ireland,NA,NA,NA
Armagh,Ulster,Northern Ireland,NA,NA,NA
Fermanagh,Ulster,Northern Ireland,NA,NA,NA
